txId,amount,timestamp,memo
pay_OpCrcFNANoCOzh,37424.97,2026-08-13T07:03:07.000Z,"Order 51910 - Myntra"
pay_lMWtgqGGfw5uQT,30706.02,2026-08-07T10:59:26.000Z,"Order 70028 - Amazon"
pay_CHqBaSfY6AZoPx,35242.18,2026-08-17T13:12:13.000Z,"Order 24169 - Netflix"
pay_DsqAqc3kfjim85,23879.13,2026-08-12T12:35:30.000Z,"Order 14984 - Amazon"
pay_0NhDSXPO0GSKNM,22544.59,2026-08-01T11:30:23.000Z,"Order 18188 - Amazon"
pay_HWv4jwNgQtkZ1q,34240.95,2026-08-11T02:57:54.000Z,"Order 32420 - Uber"
pay_5hObwQCBUXAIS1,6267.32,2026-08-25T03:15:25.000Z,"Order 17007 - Uber"
pay_hNG85FoOb4MLkN,22829.65,2026-08-25T07:23:09.000Z,"Order 28592 - Ola"
pay_9YulQGYMAOUWWX,3116.26,2026-08-18T11:36:08.000Z,"Failed Settlement - Amazon"
pay_E6fI40d8NYBcLP,10309.82,2026-08-26T12:29:44.000Z,"Standard Payout - Spotify"
pay_gDB4uZ9go51baj,7937.79,2026-08-11T03:06:27.000Z,"Full Order - Ola"
pay_U9RxpzlSQmlkr3,7978.55,2026-08-08T10:05:59.000Z,"Failed Settlement - Flipkart"
pay_gg8Rc1SsZ2ZC8o,27532.53,2026-08-23T13:08:33.000Z,"Standard Payout - Ola"
pay_vVjEyNL6jyGVl6,7830.46,2026-08-02T11:35:27.000Z,"Full Order - Ola"
pay_8hzE1wlwTOaOOj,11801.35,2026-08-21T10:39:30.000Z,"Failed Settlement - Flipkart"
pay_08IQpI1Fm3tjvZ,23105.26,2026-08-25T09:41:04.000Z,"Standard Payout - Flipkart"
pay_ypPXCxvPiWLJRY,30000.96,2026-08-04T09:57:21.000Z,"Full Order - Flipkart"
