txId,amount,timestamp,memo
pay_yQNoOXPmHlWHhY,3991.93,2026-08-01T03:45:41.000Z,"NEFT-Netflix-Settlement-pay_yQNoOXPmHlWHhY"
pay_gAxXIJYCQqMDrv,1046.87,2026-08-15T08:16:59.000Z,"NEFT-Flipkart-Settlement-pay_gAxXIJYCQqMDrv"
pay_tRgpNYklQqVefU,7229.78,2026-08-23T06:55:18.000Z,"NEFT-Zomato-Settlement-pay_tRgpNYklQqVefU"
pay_bu7zmgA6iMuWbJ,1501.32,2026-08-25T11:11:43.000Z,"NEFT-Amazon-Settlement-pay_bu7zmgA6iMuWbJ"
pay_cjnNtpLLyW062W,3366.27,2026-08-15T11:18:50.000Z,"NEFT-Amazon-Settlement-pay_cjnNtpLLyW062W"
pay_EMUqxmvQmyBYW2,5911.27,2026-08-09T13:13:23.000Z,"NEFT-Myntra-Settlement-pay_EMUqxmvQmyBYW2"
pay_HEM0uTAANQl4Zb,7827.07,2026-08-25T05:21:33.000Z,"NEFT-Zomato-Settlement-pay_HEM0uTAANQl4Zb"
pay_CggeJ24uxgRNE9,2082.92,2026-08-23T09:19:08.000Z,"NEFT-Ola-Settlement-pay_CggeJ24uxgRNE9"
pay_Q6L8E63xw8PYKI,4706.87,2026-08-20T03:41:52.000Z,"NEFT-Flipkart-Settlement-pay_Q6L8E63xw8PYKI"
pay_XvTOfGS9dNnwgq,3169.63,2026-08-11T12:06:26.000Z,"NEFT-Netflix-Settlement-pay_XvTOfGS9dNnwgq"
pay_a8PsAxP1UFYu5T,8579.26,2026-08-15T10:55:44.000Z,"NEFT-Uber-Settlement-pay_a8PsAxP1UFYu5T"
pay_CnytNmModgr7MG,7263.74,2026-08-11T05:58:48.000Z,"NEFT-Ola-Settlement-pay_CnytNmModgr7MG"
pay_8Nm0IYVRaMoH2G,4947.71,2026-08-22T03:54:05.000Z,"NEFT-Ola-Settlement-pay_8Nm0IYVRaMoH2G"
pay_JFQO2EEYTwZnIK,9178.86,2026-08-23T08:07:25.000Z,"NEFT-Ola-Settlement-pay_JFQO2EEYTwZnIK"
pay_LcqkRZqCfzqh4t,4448.22,2026-08-16T10:31:15.000Z,"NEFT-Uber-Settlement-pay_LcqkRZqCfzqh4t"
pay_tXpw923avTsKCp,4439,2026-08-09T09:20:33.000Z,"NEFT-Netflix-Settlement-pay_tXpw923avTsKCp"
pay_uhF6clsbFO31oI,223.25,2026-08-20T03:11:42.000Z,"NEFT-Myntra-Settlement-pay_uhF6clsbFO31oI"
pay_gsamDw6k9sU7U7,726.18,2026-08-14T11:24:41.000Z,"NEFT-Flipkart-Settlement-pay_gsamDw6k9sU7U7"
pay_7lBGBB8Pv2CEP4,6118.27,2026-08-11T11:06:46.000Z,"NEFT-Spotify-Settlement-pay_7lBGBB8Pv2CEP4"
pay_HdTVAFCoDxAthV,1045.72,2026-08-09T04:25:28.000Z,"NEFT-Myntra-Settlement-pay_HdTVAFCoDxAthV"
pay_SfFKFpRaibSQHb,1593.84,2026-08-12T08:55:45.000Z,"NEFT-Myntra-Settlement-pay_SfFKFpRaibSQHb"
pay_RZ2WF2omeJpCwi,3700.2,2026-08-09T08:34:42.000Z,"NEFT-Swiggy-Settlement-pay_RZ2WF2omeJpCwi"
pay_RKefUgLMhddyN3,16701.39,2026-08-10T08:18:55.000Z,"RZP SETTLEMENT - Flipkart (Net of Fees)"
pay_axyraQo9HyTV6g,10420.83,2026-08-17T11:50:10.000Z,"RZP SETTLEMENT - Swiggy (Net of Fees)"
pay_t5LngoVGEdnVc9,10134.02,2026-08-06T05:25:03.000Z,"RZP SETTLEMENT - Netflix (Net of Fees)"
pay_FvvfDUnJ2Tqo3a,36688.08,2026-08-02T11:36:13.000Z,"RZP SETTLEMENT - Swiggy (Net of Fees)"
pay_v9a9ZlKNFWAF6U,45479.73,2026-08-03T04:06:08.000Z,"RZP SETTLEMENT - Uber (Net of Fees)"
pay_0IAcATbPPLelLc,3257.48,2026-08-01T04:38:48.000Z,"RZP SETTLEMENT - Flipkart (Net of Fees)"
pay_paTsZJ0JFi0BWC,6805.6,2026-08-07T03:23:13.000Z,"RZP SETTLEMENT - Swiggy (Net of Fees)"
pay_OpCrcFNANoCOzh,36541.74,2026-08-13T07:03:07.000Z,"RZP SETTLEMENT - Myntra (Net of Fees)"
pay_lMWtgqGGfw5uQT,29981.36,2026-08-07T10:59:26.000Z,"RZP SETTLEMENT - Amazon (Net of Fees)"
pay_CHqBaSfY6AZoPx,34410.47,2026-08-17T13:12:13.000Z,"RZP SETTLEMENT - Netflix (Net of Fees)"
pay_DsqAqc3kfjim85,23315.59,2026-08-12T12:35:30.000Z,"RZP SETTLEMENT - Amazon (Net of Fees)"
pay_0NhDSXPO0GSKNM,22012.54,2026-08-01T11:30:23.000Z,"RZP SETTLEMENT - Amazon (Net of Fees)"
pay_HWv4jwNgQtkZ1q,33432.86,2026-08-11T02:57:54.000Z,"RZP SETTLEMENT - Uber (Net of Fees)"
pay_5hObwQCBUXAIS1,6119.41,2026-08-25T03:15:25.000Z,"RZP SETTLEMENT - Uber (Net of Fees)"
pay_hNG85FoOb4MLkN,22290.87,2026-08-25T07:23:09.000Z,"RZP SETTLEMENT - Ola (Net of Fees)"
pay_E6fI40d8NYBcLP,10309.82,2026-08-26T12:29:44.000Z,"Standard Payout - Spotify"
pay_F3L7ITxOUvZyke,10309.82,2026-08-26T12:29:44.000Z,"DUPLICATE REVERSAL ERROR - Spotify"
pay_gDB4uZ9go51baj,3968.89,2026-08-11T03:06:27.000Z,"Partial Settlement (Refunded) - Ola"
pay_gg8Rc1SsZ2ZC8o,27532.53,2026-08-23T13:08:33.000Z,"Standard Payout - Ola"
pay_KgPaHWUh5ZLCAG,27532.53,2026-08-23T13:08:33.000Z,"DUPLICATE REVERSAL ERROR - Ola"
pay_vVjEyNL6jyGVl6,3915.23,2026-08-02T11:35:27.000Z,"Partial Settlement (Refunded) - Ola"
pay_08IQpI1Fm3tjvZ,23105.26,2026-08-25T09:41:04.000Z,"Standard Payout - Flipkart"
pay_vFJhJK8UOkhAWi,23105.26,2026-08-25T09:41:04.000Z,"DUPLICATE REVERSAL ERROR - Flipkart"
pay_ypPXCxvPiWLJRY,15000.48,2026-08-04T09:57:21.000Z,"Partial Settlement (Refunded) - Flipkart"
